factor_id,scope,module,country,geography_level,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,source_name,preferred_rank,notes
CTG_STEEL_VIRGIN_CO2E,S3,other,GLOBAL,global,steel_virgin,cradle_to_gate,CO2e,2.89,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,Virgin steel (BOF route) cradle-to-gate. ecoinvent 3.9 / World Steel Association 2023
CTG_STEEL_RECYCLED_CO2E,S3,other,GLOBAL,global,steel_recycled,cradle_to_gate,CO2e,0.73,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,Recycled steel (EAF route) cradle-to-gate. ecoinvent 3.9
CTG_STEEL_AVERAGE_CO2E,S3,other,GLOBAL,global,steel,cradle_to_gate,CO2e,2.10,kgCO2e,kg,ecoinvent 3.9 / World Steel,40,Average steel (global mix ~30% scrap). World Steel Association 2023
CTG_ALUMINIUM_VIRGIN_CO2E,S3,other,GLOBAL,global,aluminium_virgin,cradle_to_gate,CO2e,11.46,kgCO2e,kg,ecoinvent 3.9 / IAI 2023,40,Primary aluminium cradle-to-gate. International Aluminium Institute 2023
CTG_ALUMINIUM_RECYCLED_CO2E,S3,other,GLOBAL,global,aluminium_recycled,cradle_to_gate,CO2e,0.68,kgCO2e,kg,ecoinvent 3.9 / IAI 2023,40,Secondary (recycled) aluminium. IAI 2023
CTG_ALUMINIUM_AVERAGE_CO2E,S3,other,GLOBAL,global,aluminium,cradle_to_gate,CO2e,8.24,kgCO2e,kg,ecoinvent 3.9 / IAI 2023,40,Average aluminium (global mix ~35% secondary). IAI 2023
CTG_COPPER_CO2E,S3,other,GLOBAL,global,copper,cradle_to_gate,CO2e,4.14,kgCO2e,kg,ecoinvent 3.9 / ICA 2023,40,Copper concentrate to refined copper. International Copper Association 2023
CTG_IRON_CO2E,S3,other,GLOBAL,global,iron,cradle_to_gate,CO2e,2.50,kgCO2e,kg,ecoinvent 3.9,40,Cast iron cradle-to-gate. ecoinvent 3.9
CTG_ZINC_CO2E,S3,other,GLOBAL,global,zinc,cradle_to_gate,CO2e,4.31,kgCO2e,kg,ecoinvent 3.9 / IZA 2023,40,Zinc (hydrometallurgical). International Zinc Association 2023
CTG_NICKEL_CO2E,S3,other,GLOBAL,global,nickel,cradle_to_gate,CO2e,13.30,kgCO2e,kg,ecoinvent 3.9 / Nickel Institute,40,Primary nickel (Class 1). Nickel Institute LCA 2020
CTG_TITANIUM_CO2E,S3,other,GLOBAL,global,titanium,cradle_to_gate,CO2e,34.50,kgCO2e,kg,ecoinvent 3.9,40,Titanium sponge (Kroll process). ecoinvent 3.9
CTG_STAINLESS_STEEL_CO2E,S3,other,GLOBAL,global,stainless_steel,cradle_to_gate,CO2e,6.15,kgCO2e,kg,ecoinvent 3.9 / Worldstainless 2023,40,Stainless steel (austenitic 304) cradle-to-gate. Worldstainless EPD 2023
CTG_PLASTIC_PET_CO2E,S3,other,GLOBAL,global,plastic_pet,cradle_to_gate,CO2e,2.73,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,PET (polyethylene terephthalate) virgin pellets. ecoinvent 3.9
CTG_PLASTIC_HDPE_CO2E,S3,other,GLOBAL,global,plastic_hdpe,cradle_to_gate,CO2e,2.10,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,HDPE (high-density polyethylene) virgin pellets. ecoinvent 3.9
CTG_PLASTIC_PP_CO2E,S3,other,GLOBAL,global,plastic_pp,cradle_to_gate,CO2e,1.95,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,Polypropylene virgin pellets. ecoinvent 3.9
CTG_PLASTIC_PVC_CO2E,S3,other,GLOBAL,global,plastic_pvc,cradle_to_gate,CO2e,2.41,kgCO2e,kg,ecoinvent 3.9 / DEFRA 2024,40,PVC (polyvinyl chloride) virgin pellets. ecoinvent 3.9
