Method,Scope 3 category,Method variant,Equation (canonical),Activity data required (fields),EF/parameters required (factor keys),Calculation steps,Spec status
Cat 1 — Purchased goods & services — Average-data EF,Cat 1 — Purchased goods & services,Average-data,"Emissions = Σ (mass of purchased good/service × EF per unit mass)
OR
Emissions = Σ (units of purchased good/service × EF per reference unit)","• Mass or number of units of purchased goods or services for a given year (e.g., kg, hours spent, pieces)","• Cradle-to-gate emission factors of the purchased goods or services per unit of mass or unit of product (e.g., kg CO2e/kg or kg CO2e/hour spent)","1) For each purchased good/service type, capture activity data as either mass (kg) or units (piece/hour/etc.).
2) Select a cradle-to-gate EF in matching units.
3) Multiply activity × EF.
4) Sum across purchased goods and services.",Draft
Cat 1 — Purchased goods & services — Hybrid (only supplier S1+S2 + waste + residual EF),Cat 1 — Purchased goods & services,Hybrid,"Emissions = Σ supplier_scope1+2_allocated
+
Σ (supplier_waste_mass × EF_waste_activity)
+
Σ (purchased_good_mass_or_units × EF_purchased_good_excl_supplierS1S2_and_waste)","• Allocated scope 1 and scope 2 emissions of tier 1 supplier relating to purchased good/service (kg CO2e)
• Mass of waste from tier 1 supplier relating to purchased good (kg)
• Mass or quantity of units of purchased good/service (kg, units, or $ basis depending on EF)
• Reporting year; mapping from supplier to purchased items","• EF_waste_activity (kg CO2e/kg waste)
• EF_purchased_good_excluding_supplier_scope1_scope2_and_supplier_waste (kg CO2e/kg OR per unit OR per $)","1) Collect supplier-allocated Scope 1+2 emissions for the purchased good/service.
2) Collect supplier waste outputs attributable to the purchased good/service (kg).
3) Select EF for waste activity (kg CO2e/kg) consistent with end-of-life boundary.
4) Compute waste emissions = waste_mass × EF_waste.
5) Collect purchased good quantity (kg/units) (or $ if EF is value-based).
6) Select residual EF for the purchased good that explicitly EXCLUDES supplier scope 1, scope 2, and supplier waste emissions.
7) Compute residual emissions = quantity × residual EF.
8) Total = supplier S1+S2 + waste emissions + residual emissions. Sum across goods/services.",Draft
Cat 1 — Purchased goods & services — Hybrid (supplier activity data for all activities),Cat 1 — Purchased goods & services,Hybrid,"Σ supplier scope 1&2 (allocated to purchased good/service)
+
Σ (material inputs × EF_material)
+
Σ (incoming transport distance × mass/volume × EF_vehicle)
+
Σ (supplier waste outputs × EF_waste)
+
other emissions as applicable","• Allocated scope 1 and 2 data (including emissions from electricity use and fuel use and any process and fugitive emissions) by supplier relating to the good or service purchased
• Mass or quantity of material inputs (bill of materials) used by supplier to produce purchased goods
• Mass or quantity of fuel inputs used by supplier to produce purchased goods (if needed to support supplier scope 1 allocation)
• Distance from origin of raw material inputs to supplier (exclude supplier→reporting company transport; that is Category 4)
• Quantities of waste output by supplier to produce purchased goods
• Other emissions emitted in provision of the purchased goods as applicable","Depending on supplier data availability, may need:
• Cradle-to-gate emission factors for materials used by tier 1 supplier (supplier-specific or industry-average secondary database)
• Life cycle emission factors for fuel used by incoming transport of input materials to tier 1 supplier
• Emission factors for waste outputs by tier 1 supplier
• Other emission factors as applicable (e.g., process emissions)
Also, if product-level factors are used instead of component build-up, collect either:
• Cradle-to-gate EF per unit mass/unit product (kg CO2e/kg, kg CO2e/unit)
OR
• Cradle-to-gate EF per unit economic value (kg CO2e/$)","1) Collect allocated Scope 1 and 2 emissions of tier 1 supplier relating to the purchased good/service.
2) Collect bill of materials (mass/quantity of material inputs used by tier 1 supplier for the purchased good/service).
3) For each material input, multiply input quantity × cradle-to-gate EF for the material.
4) Collect incoming transport data for material inputs to tier 1 supplier (distance, mass/volume, vehicle type).
5) For each transport leg, compute: distance × mass/volume × vehicle EF.
6) Collect waste outputs by tier 1 supplier relating to the purchased good/service and multiply by waste EFs.
7) Add any other applicable emissions in provision of the good/service.
8) Sum all components across purchased goods and services.",Draft
Cat 1 — Purchased goods & services — Spend-based (EEIO),Cat 1 — Purchased goods & services,Spend-based (EEIO),Emissions = Σ (value of purchased good/service ($) × EF per unit economic value (kg CO2e/$)),"• Amount spent on purchased goods or services, by product type, using market values (e.g., $)","• Cradle-to-gate emission factors of the purchased goods or services per unit of economic value (e.g., kg CO2e/$)","1) Extract spend by product type (market value) for reporting year.
2) Map spend categories to an EF category.
3) Select cradle-to-gate EF (kg CO2e/$).
4) Multiply spend × EF and sum.",Draft
Cat 1 — Purchased goods & services — Supplier-specific EF,Cat 1 — Purchased goods & services,Supplier-specific,Σ (quantities of good purchased × supplier-specific product emission factor of purchased good or service),• Quantities or units of goods or services purchased,"• Supplier-specific emission factors for the purchased goods or services (e.g., from a reliable cradle-to-gate GHG inventory, product footprint, or internal LCA report)","1) For each purchased good/service, get quantity purchased (e.g., kg or units).
2) Get supplier-specific product emission factor for the purchased good/service (e.g., kg CO2e/kg).
3) Multiply quantity × supplier EF.
4) Sum across purchased goods and services.",Draft
Cat 2 — Capital goods — Average-data,Cat 2 — Capital goods,Average-data,"Emissions = Σ (mass of capital good × EF per unit mass)
OR
Emissions = Σ (units of capital good × EF per reference unit)","• Mass or number of units of capital goods for a given year (e.g., kg, pieces)","• Cradle-to-gate emission factors of the capital goods per unit of mass or unit of product (e.g., kg CO2e/kg or kg CO2e/piece)","1) Capture capital goods purchased by type as mass or units.
2) Select matching cradle-to-gate EF.
3) Multiply activity × EF.
4) Sum across capital goods.",Draft
Cat 2 — Capital goods — Average-data EF,Cat 2 — Capital goods,Average-data,Emissions = ∑(quantity_capital_goods × EF_avg_capital_good),reporting_year; capital_good_type; quantity; unit,avg_cradle_to_gate_ef (kgCO2e/kg or per unit),"1) Identify capital goods purchased in reporting year per capitalization policy.
2) Capture quantity (kg/units) by capital good type.
3) Select average cradle-to-gate EF.
4) Multiply quantity × EF.
5) Sum across capital goods.",Draft
Cat 2 — Capital goods — Hybrid (only supplier S1+S2 + waste + residual EF),Cat 2 — Capital goods,Hybrid,"Emissions = Σ supplier_scope1+2_allocated
+
Σ (supplier_waste_mass × EF_waste_activity)
+
Σ (capital_good_mass_or_units × EF_capital_good_excl_supplierS1S2_and_waste)","• Allocated scope 1 and scope 2 emissions of tier 1 supplier relating to capital good (kg CO2e)
• Mass of waste from tier 1 supplier relating to the capital good (kg)
• Mass or quantity of units of capital good (kg, units, or $ basis depending on EF)
• Reporting year; mapping from supplier to capital goods","• EF_waste_activity (kg CO2e/kg waste)
• EF_capital_good_excluding_supplier_scope1_scope2_and_supplier_waste (kg CO2e/kg OR per unit OR per $)","1) Collect supplier-allocated Scope 1+2 emissions for the capital good.
2) Collect supplier waste outputs attributable to the capital good (kg).
3) Select EF for waste activity (kg CO2e/kg).
4) Compute waste emissions = waste_mass × EF_waste.
5) Collect capital good quantity (kg/units) (or $ if value-based EF).
6) Select residual EF for capital good that explicitly excludes supplier S1+S2 and supplier waste emissions.
7) Compute residual emissions = quantity × residual EF.
8) Total = supplier S1+S2 + waste emissions + residual emissions. Sum across capital goods.",Draft
Cat 2 — Capital goods — Hybrid (supplier activity data for all activities),Cat 2 — Capital goods,Hybrid,"Σ supplier scope 1&2 (allocated to capital good)
+
Σ (material inputs × EF_material)
+
Σ (incoming transport distance × mass/volume × EF_vehicle)
+
Σ (supplier waste outputs × EF_waste)
+
other emissions as applicable","• Allocated scope 1 and 2 data by supplier relating to the capital good purchased (incl. electricity, fuel, process, fugitive)
• Mass/quantity of material inputs used by supplier to produce capital goods
• Mass/quantity of fuel inputs used by supplier to produce capital goods
• Distance from origin of raw material inputs to supplier (exclude supplier→reporting company transport; that is Category 4)
• Quantities of waste output by supplier to produce capital goods
• Other emissions emitted in provision of capital goods as applicable","Depending on supplier data availability:
• Cradle-to-gate EFs for materials used by tier 1 supplier (supplier-specific or industry-average)
• Life cycle EFs for fuel used by incoming transport of input materials to tier 1 supplier
• EFs for waste outputs by tier 1 supplier
• Other EFs as applicable (process emissions)
Also, if using product-level factors instead of component build-up:
• Cradle-to-gate EF per unit mass/unit product OR per $","1) Collect allocated supplier Scope 1+2 emissions for the capital good.
2) Collect material inputs and compute Σ(material_qty × EF_material).
3) Collect incoming transport of material inputs and compute Σ(distance × mass/volume × EF_vehicle).
4) Collect supplier waste outputs and compute Σ(waste_mass × EF_waste).
5) Add other applicable emissions.
6) Sum all components across capital goods.",Draft
Cat 2 — Capital goods — Spend-based,Cat 2 — Capital goods,Spend-based (EEIO),Emissions = Σ (value of capital good ($) × EF per unit economic value (kg CO2e/$)),"• Amount spent on capital goods, by product type, using market values (e.g., $)","• Cradle-to-gate emission factors of the capital goods per unit of economic value (e.g., kg CO2e/$)
• Inflation data where applicable to convert market values between EEIO EF year and activity year","1) Extract spend on capital goods by type.
2) Map spend type to EF category/EEIO sector.
3) Normalize spend to EF base year if required.
4) Multiply spend × EF and sum.",Draft
