Document name,Exists,Owner,Quantitative Datapoints,Document description,Framework relevance (framework-level),"ESRS DP ID(s) (from Crossmap) ",Framework relevance (granular),What to capture (kernels),Notes on disaggregation/comparative requirements,Link,Status,Last updated
Code of Conduct Policy,Yes,Compliance,Needed,"Ethics baseline policy covering expected behaviors, reporting, disciplinary actions, and training. Key for G1 business conduct disclosures.","BRSR, ESRS, GRI",ESRS-G1-1 (https://www.notion.so/ESRS-G1-1-198b368fb8e2483185e5b3270044c424?pvs=21),ESRS G1 business conduct policy disclosures; GRI ethics & integrity/anti-corruption context; BRSR ethics and governance disclosures,"Scope, topics covered, training/attestation, breach handling, investigation workflow, training completion, breaches/investigations metrics","ESRS-G1-1 is primarily narrative. Quantitative items in this doc (training %, breaches count) should be maintained with a stable taxonomy, consistent population definition, and prior-year comparatives where available (even if not explicitly required) to support auditability.",,Not started,"March 30, 2026"
CSR Report,Yes,Compliance,Needed,"CSR spend and program reporting. Useful for community investment, stakeholder outcomes, and social value narratives.","BRSR, ESRS, GRI",ESRS-S3-CSR-1 (https://www.notion.so/ESRS-S3-CSR-1-dd1af04067d34121b27e046031309eb8?pvs=21),ESRS 2 SBM contextual info; ESRS S3 community impacts (if material); GRI community investment disclosures; BRSR community development disclosures,"CSR governance, project register, spend totals and allocation, beneficiaries, outcomes/impact metrics, M&E method","Materiality-gated (S3). If CSR metrics are used in ESRS responses, keep geography/program disaggregation consistent and track prior-year comparatives for spend and beneficiary metrics.",,Not started,"March 30, 2026"
Diversity and Inclusion (D&I) Policy,Yes,HR,Needed,D&I commitments and management approach. Supports workforce diversity metrics and equal opportunity disclosures.,"BRSR, ESRS, GRI",ESRS-S1-9 (https://www.notion.so/ESRS-S1-9-adc2945bfa584fefa79434803b64d4cb?pvs=21),ESRS S1 (equal opportunity/diversity/pay gap) where material; GRI 405; BRSR workforce diversity KPIs,"Scope/dimensions tracked, governance, commitments, accommodation, training, workforce diversity datasets, leadership/board diversity, pay equity method + metrics","Use ESRS-S1-9 for the exact required breakdowns for governance body and workforce. Maintain consistent category taxonomy (gender, employee category, region as applicable) and provide prior-year comparatives where required.",,Not started,"March 30, 2026"
Sustainability Report,Yes,Compliance,Needed,"Consolidated sustainability disclosure report, often multi-framework. Must be decomposed into kernels for ESRS mapping and gap analysis.","BRSR, CDP, ESRS, GRI, IFRS S1, IFRS S2, TCFD","ESRS-E1-6 (https://www.notion.so/ESRS-E1-6-afecac1af11f4606865eeba198fe2b2f?pvs=21), ESRS-E1-7 (https://www.notion.so/ESRS-E1-7-54fcc9acba1345dca555959f65a21f28?pvs=21), ESRS-E1-5 (https://www.notion.so/ESRS-E1-5-0167155efc7f416693a381d16d03dd5b?pvs=21), ESRS-E2-4 (https://www.notion.so/ESRS-E2-4-20ed811484684dfdb7f760f816c3f95a?pvs=21), ESRS-E3-4 (https://www.notion.so/ESRS-E3-4-08e84370035d4311b6dfbad3951fc7dc?pvs=21), ESRS-E5-4 (https://www.notion.so/ESRS-E5-4-2fa545de72594e9f92fc265b8ee29893?pvs=21), ESRS-E5-5 (https://www.notion.so/ESRS-E5-5-858f720f208648d6af6de96adc92679a?pvs=21), ESRS-S1-9 (https://www.notion.so/ESRS-S1-9-adc2945bfa584fefa79434803b64d4cb?pvs=21), ESRS-S1-14 (https://www.notion.so/ESRS-S1-14-f86dc87a17c1497bad2fb83969c69d9c?pvs=21)","ESRS 2 + topical ESRS (E1–E5, S1–S4, G1) pre-fill source; GRI index crosswalk; IFRS S1/S2 narrative + metrics; CDP questionnaire responses; BRSR principles + KPIs; TCFD pillars (Gov/Strategy/Risk/Metrics)","Framework claims + versions, disclosure index, policies/actions/targets by topic, KPI tables with methods/boundaries, restatements, uncertainty, assurance scope",Use Crossmap DP rows for the exact required breakdowns. At minimum: Energy (E1-5) requires source/type split and comparatives; GHG (E1-6) requires Scope 1/2/3 and comparatives; Water (E3-4) requires source and stressed-area split and comparatives; Waste (E5-5) requires hazardous/non-hazardous and treatment route where applicable; Resource inflows (E5-4) requires material categories; Diversity (S1-9) requires workforce + governance breakdowns; H&S (S1-14) requires employee vs non-employee distinctions and rate methodology.,,Not started,"March 30, 2026"
Health and Safety (H&S) Policy,Yes,EHS,Needed,Occupational health and safety policy and management approach; ties to incident registers and rate metrics.,"BRSR, ESRS, GRI",ESRS-S1-14 (https://www.notion.so/ESRS-S1-14-f86dc87a17c1497bad2fb83969c69d9c?pvs=21),ESRS S1 (health & safety) where material; GRI 403; BRSR workforce H&S KPIs,"Scope, governance, standards, hazard/risk method, incident workflow, CAPA, training matrix, H&S KPI definitions + datasets","Use ESRS-S1-14 for exact KPI definitions, required breakdowns (employee vs non-employee), and comparative period requirement. Keep denominator basis for rates consistent year-on-year.",,Not started,"March 30, 2026"
Conflict of Interest Policy,Yes,Compliance,Needed,"Defines conflicts and the declaration, approval, and management workflow; supports business conduct controls disclosures.","BRSR, ESRS, GRI",ESRS-G1-1 (https://www.notion.so/ESRS-G1-1-198b368fb8e2483185e5b3270044c424?pvs=21),ESRS G1 conflicts of interest controls; GRI governance/ethics context; BRSR conflicts of interest controls disclosures,"Definitions, disclosure triggers, declaration frequency, approvals/remediation, COI register fields, COI metrics","Supports ESRS-G1-1 controls narrative. If tracking COI metrics, keep consistent definition of declaration scope (who files), frequency, and outcomes; retain year-on-year comparatives for trend evidence.",,Not started,"March 30, 2026"
POSH Policy,Yes,HR,Needed,"Policy and process for prevention of sexual harassment and complaint handling. Supports workforce conduct, grievance, training, and remediation disclosures.","BRSR, ESRS, GRI",ESRS-S1-17 (https://www.notion.so/ESRS-S1-17-82e0e1d3fcb845fea43175398e4185ca?pvs=21),ESRS S1 grievances/harassment (if S1 material); GRI grievance and workplace conduct disclosures; BRSR workforce grievance/harassment disclosures,"Scope/definitions, IC committee, channels, SLAs/workflow, non-retaliation, remediation, training requirements, case metrics","Treat POSH case metrics as a subset of ESRS-S1-17 where harassment/discrimination incidents are in scope. Keep employee vs non-employee separation where applicable, consistent case outcome categories, and prior-year comparatives.",,Not started,"March 30, 2026"
Environment Policy,Yes,EHS,Needed,"Umbrella environment management policy. Anchors environmental governance, compliance commitments, and scope; connects to E1–E5 datasets.","BRSR, CDP, ESRS, GRI, IFRS S2, TCFD","ESRS-E1-5 (https://www.notion.so/ESRS-E1-5-0167155efc7f416693a381d16d03dd5b?pvs=21), ESRS-E1-6 (https://www.notion.so/ESRS-E1-6-afecac1af11f4606865eeba198fe2b2f?pvs=21), ESRS-E1-7 (https://www.notion.so/ESRS-E1-7-54fcc9acba1345dca555959f65a21f28?pvs=21), ESRS-E2-4 (https://www.notion.so/ESRS-E2-4-20ed811484684dfdb7f760f816c3f95a?pvs=21), ESRS-E3-4 (https://www.notion.so/ESRS-E3-4-08e84370035d4311b6dfbad3951fc7dc?pvs=21), ESRS-E5-4 (https://www.notion.so/ESRS-E5-4-2fa545de72594e9f92fc265b8ee29893?pvs=21), ESRS-E5-5 (https://www.notion.so/ESRS-E5-5-858f720f208648d6af6de96adc92679a?pvs=21)",ESRS MDR-P (E-topic policies) when material; ESRS E1–E5 governance/policy; GRI management approach; CDP governance/policy narratives; BRSR Principle 6 environment management; TCFD governance/strategy context,"Scope/boundary, compliance stance, topic coverage, governance owner, review cycle, escalation, KPI list governed, supplier expectations","Policy itself is qualitative, but it governs quantitative packs. Use linked ESRS DPs for required disaggregation and comparatives. Ensure policy scope matches the reporting boundary used in the linked quantitative metrics.",,Not started,"March 30, 2026"
Annual Report,Yes,Finance,Needed,"Primary statutory reporting pack. Use as source of boundary, business model, governance, risks, and financial anchors that many ESRS disclosures must reconcile to.","BRSR, ESRS, GRI, IFRS S1, IFRS S2, TCFD","ESRS-E1-9 (https://www.notion.so/ESRS-E1-9-e7dfc7b824524f9a827733dd9f5a0f4e?pvs=21), ESRS-E2-6 (https://www.notion.so/ESRS-E2-6-a4febf3eff204ac1a5f32dc419bc74a3?pvs=21), ESRS-E3-5 (https://www.notion.so/ESRS-E3-5-c5777fcf2bd148f9ae33c0759f591a4d?pvs=21), ESRS-E4-6 (https://www.notion.so/ESRS-E4-6-93997cfbc67649269e416392fb26c78e?pvs=21), ESRS-E5-6 (https://www.notion.so/ESRS-E5-6-94d28fbf2acd444db341b08e1e757df9?pvs=21), ESRS-1-PAR-44 (https://www.notion.so/ESRS-1-PAR-44-dd032aa4525e4b71b4edb46246862761?pvs=21), ESRS-1-PAR-46 (https://www.notion.so/ESRS-1-PAR-46-81c451dbc7fd424995c1ec180724e892?pvs=21)",ESRS 2: SBM/GOV/BP; ESRS 1 connected info; GRI 2; IFRS S1/S2 governance/strategy/risk anchors; BRSR general disclosures; TCFD Governance/Strategy anchors,"Entity boundary, consolidation basis, period/comparatives, segments/geographies, revenue/CapEx/OpEx anchors, business model + value chain, governance + ERM, principal risks","Financial anchors used across multiple ESRS disclosures. Use the Crossmap rows for each topical ""anticipated financial effects"" DP to confirm whether revenue, CapEx, OpEx, and segment splits are required, and align period/comparatives to the sustainability statement reporting period.",,Not started,"March 30, 2026"
Data Protection / IT / Cybersecurity Policy,Yes,IT,Needed,Information security and privacy policy; can become material depending on business model and stakeholder impacts; supports risk governance narratives.,"BRSR, ESRS, IFRS S1",ESRS-ENTITY-CYBER-1 (https://www.notion.so/ESRS-ENTITY-CYBER-1-d09a4fea8a0f4f7b99123283aa11ad30?pvs=21),ESRS 2 risk management narrative inputs if cyber/privacy IROs are material; IFRS S1 risk & resilience narrative; BRSR governance and customer/privacy narratives (as applicable),"Data classification, access controls, incident response, third-party IT risk, training, breach metrics","Entity-specific and materiality-dependent. If cyber/privacy becomes a material IRO, define incident taxonomy, severity thresholds, and ensure comparatives and methodology notes are maintained.",,Not started,"March 30, 2026"
