Process,Scope,Scope 3 category,Module,Activity modes supported,Required inputs (minimal),Implementation status,Method variant,Formula / method reference,Notes,Optional inputs (improve match),Outputs,Line items
S1 — Mobile combustion (road),Scope 1,,mobile_combustion,"Distance-based, Energy-based, Mass-based, Volume-based","country, quantity, unit, fuel/item, vehicle/sub-process",In progress,,If EF is per TJ: convert fuel to TJ via NCV/density then apply. If EF is per km: apply directly; else derive using fuel economy sub-step.,We have India CO2 coefficients per TJ for some vehicle classes; need CH4/N2O + more fuels/units for full coverage.,"year, technology/process (e.g., Euro standard), fuel economy, occupancy/load (if distance-based)","kg CO2, kg CH4, kg N2O, total tCO2e; factor_id(s) + constants used + fallback flags",
S1 — Stationary combustion (fuel burn),Scope 1,,stationary_combustion,"Energy-based, Mass-based, Volume-based","country, quantity, unit, fuel/item",Runnable in CSV runner,,Apply EF (per TJ) × energy. Convert to TJ using NCV + density when needed. IPCC defaults as GLOBAL fallback (2019 over 2006).,This is the base module for stationary fuel use in boilers/generators/furnaces etc.,"year, technology/process, NCV override, density override, IPCC category key","kg CO2, kg CH4, kg N2O, total tCO2e; factor_id(s) + constants used + fallback flags",
S2 — Purchased electricity (grid),Scope 2,,purchased_electricity,Energy-based,"country, quantity, unit (kWh/MWh)",Not implemented,,Apply grid EF (kgCO2e/kWh). India should be sourced from CEA; GLOBAL defaults used only if missing.,Waiting on CEA factor insertion into factor store + year/version handling.,"year, grid region/state, market-based instrument data","kg CO2e (or kg CO2/CH4/N2O if factor split is available), total tCO2e; factor_id + fallback flags",
S3 Cat 5 — Waste generated (landfill model),Scope 3,Cat 5 — Waste generated in operations,waste_landfill,Mass-based,"country, waste mass, waste type/composition, disposal pathway, year(s)",Not implemented,,IPCC 2006/2019 waste FOD model (multi-parameter). EFDB rows are mostly worksheet parameters.,This illustrates why we need process→subprocess steps: it’s not one EF; it’s a chain of parameters + equations.,"DOC, DOCf, MCF, oxidation factor, methane recovery, climate zone","kg CH4, total tCO2e; parameter IDs used + fallback flags",
S1 — Fugitive emissions (energy),Scope 1,,fugitive_energy,"Mass-based, Other, Volume-based","country, activity quantity, unit, sub-process (e.g., coal mining underground/surface; O&G segment)",Not implemented,,Mostly worksheet/segment factors; varies by subcategory (coal mining vs oil/gas systems).,"Placeholder to be filled process-by-process (coal mining, oil & gas, refining).","mine type, gassiness, recovery/oxidation, technology/practices","kg CH4 (and CO2 where applicable), total tCO2e; factor_id(s) + fallback flags",
IPPU — Cement (process CO2),Scope 1,,ippu_process,Mass-based,"country, clinker production (tonne) OR cement production + clinker ratio",Not implemented,,IPCC Vol.3 cement calcination method (process emissions). Add fuel combustion separately via stationary combustion module.,Direct coefficient may exist (tCO2/t clinker) but may also be computed from chemistry depending on tier.,"CaO content, MgO content, kiln type, CKD bypass, clinker fraction","kg CO2, total tCO2e; factor_id(s) + fallback flags",
AFOLU — Enteric fermentation (Tier 1),Scope 1,,,Other,"country, animal type, headcount, period",Not implemented,,Tier 1: EF (kg CH4/head/year) × headcount × time fraction.,This will need a dedicated AFOLU module family; placeholder record for catalog completeness.,"regional defaults (Asia vs Global), animal productivity class","kg CH4, total tCO2e; factor_id(s) + fallback flags",
"S3 Cat 8 — Upstream leased assets (buildings, avg EF by floor area)",Scope 3,Cat 8 — Upstream leased assets,other,Other,"• Reporting year
• Geography of leased space (country; optional: grid region/city)
• Building type (office/warehouse/retail/data center/etc.)
• Floor area by building type (m²)
• Time fraction leased in year (if partial-year)",Not implemented,Average-data,"GHG Protocol Scope 3 Technical Guidance — Category 8.
Average-data (leased buildings; floor space available):
Emissions = ∑(Floor area (m²) × EF_building_type (kg CO2e/m²/year) × time_fraction)
Notes: If EF already includes electricity/fuels, do not add separately.","User choice hierarchy:
1) Asset-specific / lessor-provided S1+S2 data (preferred)
2) Average-data by floor area (this process)
3) Average-data per building (if only building count)

Factor selection:
EF must match building type + geography + year; else fallback.

Edge cases:
• Embedded utilities vs tenant-paid utilities (avoid double counting)
• Sub-metering available → treat as asset-specific","• Method choice: building-type EF vs proxy from energy intensity
• Occupancy rate (if shared space)
• Allocation basis if multi-tenant: area share / headcount share / revenue share
• Sub-metering flag
• Evidence/source-quality tier for EF (national stats vs industry avg vs LCA)","• Total kg CO2e (and tCO2e)
• Breakdown by building type
• EF source reference + factor_id(s)
• Fallback flags (country→region→global)
• Audit trace (inputs → conversions → multiplication steps)",
S3 Cat 10 — Processing of sold intermediate products (site-specific),Scope 3,Cat 10 — Processing of sold products,other,"Energy-based, Mass-based, Other","• Reporting year
• Geography of downstream processing (country)
• Intermediate product(s) sold: quantity + unit
• Downstream process activity data OR downstream-reported emissions:
  - Fuels consumed (by fuel type + unit)
  - Electricity consumed (kWh)
  - Optional: refrigerant leakage (kg)
  - Optional: waste generated (kg by waste type)",Not implemented,Site-specific,"GHG Protocol Scope 3 Technical Guidance — Category 10.
Site-specific (Formula 10.1):
Emissions = Σ(fuel×EF_fuel) + Σ(elec×EF_elec) + Σ(refrigerant_leak×GWP) + process emissions + Σ(waste×EF_waste)
If downstream partner provides calculated emissions, store as reported and record methodology metadata.","User choices:
• Site-specific (preferred when partner data exists) vs average-data.

Edge cases:
• If downstream uses other inputs besides sold intermediate product, allocation is mandatory.
• Attribute processing only (exclude use-phase & end-of-life).","• Allocation basis for co-processing: mass / economic value / other physical
• Grid region for electricity EF
• Distinguish Scope 1 vs Scope 2 of processor
• Process emissions/fugitives (if applicable)
• Boundary confirmation to avoid double counting","• Total kg CO2e (and tCO2e)
• Breakdown: fuels + electricity + refrigerants + process + waste
• Factor IDs used + GWP set
• Allocation method + audit trace",
S3 Cat 10 — Processing of sold intermediate products (average-data),Scope 3,Cat 10 — Processing of sold products,other,Mass-based,"• Reporting year
• Geography of downstream processing (country/region, if EF is region-specific)
• Intermediate product(s) sold: mass (kg) by product/process route",Not implemented,Average-data,"GHG Protocol Scope 3 Technical Guidance — Category 10.
Average-data (Formula 10.2):
Emissions = ∑(mass_sold_intermediate (kg) × EF_processing (kg CO2e/kg final product))
Note: Ensure EF boundaries match the defined processing stages.","User choices:
• Use average-data when partner data unavailable.

Edge cases:
• If EF is per kg of final product, and intermediate product is only a fraction, allocation/conversion is required.","• Downstream process stage mapping (which processes are included)
• Allocation basis if multiple inputs drive processing emissions
• Quality tier of secondary EF (database/industry association/LCA)
• Boundary confirmation (avoid double counting with Cat 10 site-specific or Cat 11)","• Total kg CO2e (and tCO2e)
• Breakdown by intermediate product/process route
• EF IDs/sources used + audit trace",
"S3 Cat 9 — Downstream transport (distance-based, tonne-km)",Scope 3,Cat 9 — Downstream transport & distribution,other,"Distance-based, Mass-based","• Reporting year
• Geography context (country/region of transport legs)
• Mass shipped after point of sale (tonnes)
• Distance by leg (km)
• Transport mode/vehicle class per leg",Not implemented,Distance-based,"GHG Protocol Scope 3 Technical Guidance — Category 9.
Distance-based method:
Emissions = ∑(mass (tonnes) × distance (km) × EF_mode (kg CO2e/tonne-km))
Boundary: if company pays to retailer → Category 4, not Category 9.","User choices:
• Method: fuel-based / distance-based / spend-based (default distance-based when data limited)

Edge cases:
• Intermediate products: include legs from point of sale to end consumer or next business customer (per guidance)
• Customer travel to stores is optional; model separately if included

Factor selection:
EF must match mode + vehicle class + region; else fallback.","• Refrigerated transport flag
• Backhaul/unladen assumption
• Load factor (parcel/LTL)
• Chargeable/dimensional mass method
• Distance estimation method (maps, port-to-port, gov stats)","• Total kg CO2e (and tCO2e)
• Breakdown by leg and mode
• EF IDs/sources used (kgCO2e/tonne-km)
• Fallback flags + audit trace",
S3 Cat 8 — Upstream leased assets (avg EF per asset),Scope 3,Cat 8 — Upstream leased assets,other,Other,"• Reporting year
• Geography (country; optional: region)
• Asset types + counts (e.g., cars, forklifts, leased equipment)
• Time fraction in year (if partial-year)",Not implemented,Average-data,"GHG Protocol Scope 3 Technical Guidance — Category 8.
Average-data (non-building assets OR no floor-space):
Emissions = ∑(asset_count × EF_asset_type (kg CO2e/asset/year) × time_fraction)","User choices:
• Prefer asset-specific (fuel/electricity) data when available; otherwise use average-data per asset.

Edge cases:
• If asset uses fuel/electricity directly and you have consumption data, model as asset-specific to avoid over/under-counting.

Factor selection:
EF must match asset type + geography + year; else fallback country→region→global.","• Asset subtype/technology (ICE/EV; size class)
• Usage intensity (km/year, hours/year)
• Fuel type / electricity grid region
• Allocation basis if shared assets
• Evidence/source-quality tier for EF","• Total kg CO2e (and tCO2e)
• Breakdown by asset type
• EF source reference + factor_id(s)
• Fallback flags + audit trace",
